Motors - Single Phase - Rigid Base

HP,RPM60Hz,NEMA FRAME,WEIGHT,PART NUMBER
1,1725,143T,67,L5023T
1-1/2,1725,184,87,L5013
2,1725,182T,91,L5027T
3,1725,215,145,L5018
5,1725,215,165,L5020

"Motors - Single Phase - ""C"" FACE"

DESCRIPTION,HP,RPM60Hz,NEMA FRAME,WEIGHT,PART NUMBER
with,1,1725,56C,54,CL5023A
FootMount,1-1/2,1725,56C,74,CL5024A
,1-1/2,1725,56c,74,CL5024A208
,1,1725,56C,54,VL5023A
without,1-1/2,1725,56C,74,VL5024A
FootMount,2,1725,184C,90,VL5027

Motors Three Phase - Rigid Base

HP,RPM60Hz,NEMA FRAME,WEIGHT,PART NUMBER
1,1725,143T,40,M7014T
1-1/2,1725,145T,44,M7034T
2,1725,145T,52,M7037T
3,1725,182T,80,M7042T
5,1725,184T,101,M7044T
7-1/2,1725,213T,170,M7047T
10,1725,215T,168,M7070T
15,1760,254T,320,M7054T
20,1760,256T,350,M7056T
25,1760,284T,432,M7058T
30,1760,286T,471,M7060T

Stop/Start Switch

DESCRIPTION,REF. NO.,PART NUMBER
LevertypeON/OFFswitch,1,FXS12C
PushButtontypeswitch,2,51C201H
