Mr. Heater Portable Patio Heater

DESCRIPTION,PART NUMBER
"40,000 btu/Hr Portable Patio Heater",PH40

Mr. Heater Portable Buddy Series

DESCRIPTION,PART NUMBER
"Buddy Heater (4,000-9,000 BTU/Hr Propane)",73400
"Big Buddy Heater (4,000-9,000-18,000 BTU/Hr Propane)",74800

Mr. Heater

DESCRIPTION,REF. NO.,PART NUMBER
"8,000-14,000 BTU/Hr Cooker",1,73300
"8,000-14,000 BTU/Hr",2,73100
"8,000-28,000 BTU/Hr",3,73600
"26,000 BTU/Hr w/ Tank Foot",3,73625
"8,000-42,000 BTU/Hr",4,73900

Enerco Heat Star Portable Forced Air Heaters

DESCRIPTION,PART NUMBER
"35,000 BTU/HR Heater",HS35FA
"30,000-55,000 BTU/HR Heater",HS55FAV
"75,000-125,000 BTU/HR Heater",HS125FAV
"125,000-170,000 BTU/HR Heater",HS170FAVT

Enerco Heat Star Portable Convection Heaters

DESCRIPTION,PART NUMBER
"30,000-80,000 BTU/HR Heater",HS80CV
"75,000-200,000 BTU/HR Heater",HS200CV

Re-Verber-Ray Heaters

DESCRIPTION,REF. NO.,PART NUMBER
"16,000BTU/ HR Heater",1,P16T
"32,000BTU/HRHeater",2,P32T

Enerco Heat Star Vent-Free Blue Flame Gas Heaters

DESCRIPTION,PART NUMBER
"10,000 BTU/HR Heater Propane - (300 Sq. Ft.)",HSVFB10LPBT
"20,000 BTU/HR Heater Propane - (600 Sq. Ft.)",HSVFB20LPBT
"30,000 BTU/HR Heater Propane - (1000 Sq. Ft.)",HSVFB30LPBT

Enerco Heat Star Vent-Free Infrared Gas Heaters

DESCRIPTION,PART NUMBER
"10,000 BTU/HR Heater Propane - (300 Sq. Ft.)",HSVFR10LPBT
"20,000 BTU/HR Heater Propane - (600 Sq. Ft.)",HSVFR20LPBT
"30,000 BTU/HR Heater Propane - (1000 Sq. Ft.)",HSVFR30LPBT

Rinnai Direct Vent Furnaces

DESCRIPTION,PART NUMBER
"5,700to11,000 BTU/HR Heater Propane",R263P
"5,500to11,000 BTU/HR Heater Natural Gas",R263N
"8,200to16,700 BTU/HR Heater Propane",R431FP
"8,200to16,700 BTU/HR Heater Natural Gas",R431FN
"8,200to20,700 BTU/HR Heater Propane",R556FP
"8,200to21,500 BTU/HR Heater Natural Gas",R556FN
"8,200to16,700 BTU/HR Heater Propane",R431WTAP
"8,200to16,700 BTU/HR Heater Natural Gas",R431WTAN
"8,200to20,700 BTU/HR Heater Propane",R556WTAP
"8,200to21,500 BTU/HR Heater Natural Gas",R556WTAN
"8,200to20,700 BTU/HR Heater Propane (white)",R556WTAWP
"8,200to21,500 BTU/HR Heater Nat.Gas (white)",R556WTAWN
"10,500to36,500 BTU/HR Heater Propane",R1004FP
"10,500to38,400 BTU/HR Heater Natural Gas",R1004FN
