Standard Nipples

STANDARD
"3/4""",1NS07
"1""",1NS10
"1-1/4""",1NS12
"1-1/2""",1NS15
"2""",1NS20

Standard 45 Degree Elbows - 150 lb.

STANDARD
SIZE,PART NUMBER
"1/4""",1FE02
"3/8""",1FE03
"1/2""",1FE05
"3/4""",1FE07
"1""",1FE10
"1-1/4""",1FE12
"1-1/2""",1FE15
"2""",1FE20
"2-1/2""",1FE25
"3""",1FE30

Standard Tees - 150 lb.

STANDARD
SIZE,PART NUMBER
"1/4""",1TE02
"3/8""",1TE03
"1/2""",1TE05
"3/4""",1TE07
"1""",1TE10
"1-1/4""",1TE12
"1-1/2""",1TE15
"2""",1TE20
"2-1/2""",1TE25
"3""",1TE30

Standard Couplings - 150 lb.

STANDARD
SIZE,PART NUMBER
"1/4""",1CF02
"3/8""",1CF03
"1/2""",1CF05
"3/4""",1CF07
"1""",1CF10
"1-1/4""",1CF12
"1-1/2""",1CF15
"2""",1CF20

Standard Bell Reducers - 150 lb.

STANDARD
SIZE,PART NUMBER
"1/4""x1/8""",1CR0201
"3/8""x1/8""",1CR0301
"3/8""x1/4""",1CR0302
"1/2""x1/8""",1CR0501
"1/2""x1/4""",1CR0502
"1/2""x3/8""",1CR0503
"3/4""x1/8""",1CR0701
"3/4""x1/4""",1CR0702
"3/4""x3/8""",1CR0703
"3/4""x1/2""",1CR0705
"1""x1/4""",1CR1002
"1""x3/8""",1CR1003
"1""x1/2""",1CR1005
"1""x3/4""",1CR1007
"1-1/4""x1/2""",1CR1205
"1-1/4""x3/4""",1CR1207
"1-1/4""x1""",1CR1210
"1-1/2""x3/4""",1CR1507
"1-1/2""x1""",1CR1510
"1-1/2""x1-1/4""",1CR1512
"2""x3/4""",1CR2007
"2""x1""",1CR2010
"2""x1-1/4""",1CR2012
"2""x1-1/2""",1CR2015
"3""x2""",1CR3020

Extra Heavy 90 Degree Street Elbows - 3000 lb.

EXTRA HEAVY
SIZE,PART NUMBER
"1/4""",2NS02
"3/8""",2NS03
"1/2""",2NS05
"3/4""",2NS07
"1""",2NS10
"1-1/4""",2NS12
"1-1/2""",2NS15
"2""",2NS20

Extra Heavy 45 Degree Elbows - 2000 lb.

EXTRA HEAVY
SIZE,PART NUMBER
"1/4""",2FE02
"3/8""",2FE03
"1/2""",2FE05
"3/4""",2FE07
"1""",2FE10
"1-1/4""",2FE12
"1-1/2""",2FE15
"2""",2FE20
"2-1/2""",2FE25
"3""",2FE30

Extra Heavy Tees - 2000 lb.

EXTRA HEAVY
SIZE,PART NUMBER
"1/4""",2TE02
"3/8""",2TE03
"1/2""",2TE05
"3/4""",2TE07
"1""",2TE10
"1-1/4""",2TE12
"1-1/2""",2TE15
"2""",2TE20
"2-1/2""",2TE25
"3""",2TE30

Extra Heavy Couplings - 3000 lb.

EXTRA HEAVY
SIZE,PART NUMBER
"1/4""",2CF02
"3/8""",2CF03
"1/2""",2CF05
"3/4""",2CF07
"1""",2CF10
"1-1/4""",2CF12
"1-1/2""",2CF15
"2""",2CF20
"2-1/2""",2CF25
"3""",2CF30

Extra Heavy Reducing Couplings - 3000 lb.

EXTRA HEAVY
SIZE,PART NUMBER
"1/4""x1/8""",2CR0201
"3/8""x1/4""",2CR0302
"1/2""x1/4""",2CR0502
"1/2""x3/8""",2CR0503
"3/4""x1/4""",2CR0702
"3/4""x3/8""",2CR0703
"3/4""x1/2""",2CR0705
"1""x1/4""",2CR1002
"1""x3/8""",2CR1003
"1""x1/2""",2CR1005
"1""x3/4""",2CR1007
"1-1/4""x3/4""",2CR1207
"1-1/4""x1""",2CR1210
"1-1/2""x3/4""",2CR1507
"1-1/2""x1""",2CR1510
"2""x3/4""",2CR2007
"2""x1""",2CR2010
"2""x1-1/4""",2CR2012
"2""x1-1/2""",2CR2015
"2-1/2""x2""",2CR2520
"3""x2""",2CR3020

Standard Square Head Plugs

STANDARD
SIZE,PART NUMBER
"1/4""",1PS02
"3/8""",1PS03
"1/2""",1PS05
"3/4""",1PS07
"1""",1PS10
"1-1/4""",1PS12
"1-1/2""",1PS15
"2""",1PS20
"2-1/2""",1PS25
"3""",1PS30

Standard Caps - 150 lb.

STANDARD
SIZE,PART NUMBER
"1/4""",1CA02
"3/8""",1CA03
"1/2""",1CA05
"3/4""",1CA07
"1""",1CA10
"1-1/4""",1CA12
"1-1/2""",1CA15
"2""",1CA20

Standard Ground Joint Unions - 150 lb.

STANDARD
SIZE,PART NUMBER
"1/4""",1UN02
"3/8""",1UN03
"1/2""",1UN05
"3/4""",1UN07
"1""",1UN10
"1-1/4""",1UN12
"1-1/2""",1UN15
"2""",1UN20

Standard Hex Bushing

STANDARD
SIZE,PART NUMBER
"1/4""x1/8""",1BH0201
"3/8""x1/4""",1BH0302
"1/2""x1/8""",1BH0501
"1/2""x1/4""",1BH0502
"1/2""x3/8""",1BH0503
"3/4""x1/8""",1BH0701
"3/4""x1/4""",1BH0702
"3/4""x3/8""",1BH0703
"3/4""x1/2""",1BH0705
"1""x1/8""",1BH1001
"1""x1/4""",1BH1002
"1""x3/8""",1BH1003
"1""x1/2""",1BH1005
"1""x3/4""",1BH1007
"1-1/4""x1/4""",1BH1202
"1-1/4""x3/8""",1BH1203
"1-1/4""x1/2""",1BH1205
"1-1/4""x3/4""",1BH1207
"1-1/4""x1""",1BH1210
"1-1/2""x1/2""",1BH1505
"1-1/2""x3/4""",1BH1507
"1-1/2""x1""",1BH1510
"1-1/2""x1-1/4""",1BH1512
"2""x1/4""",1BH2002
"2""x3/8""",1BH2003
"2""x1/2""",1BH2005
"2""x3/4""",1BH2007
"2""x1""",1BH2010
"2""x1-1/4""",1BH2012
"2""x1-1/2""",1BH2015
"3""x2""",1BH3020

Extra Heavy Hex Bushing

EXTRA HEAVY
SIZE,PART NUMBER
"1/4""x1/8""",2BH0201
"3/8""x1/8""",2BH0301
"3/8""x1/4""",2BH0302
"1/2""x1/4""",2BH0502
"1/2""x3/8""",2BH0503
"3/4""x1/4""",2BH0702
"3/4""x3/8""",2BH0703
"3/4""x1/2""",2BH0705
"1""x1/4""",2BH1002
"1""x3/8""",2BH1003
"1""x1/2""",2BH1005
"1""x3/4""",2BH1007
"1-1/4""x1/2""",2BH1205
"1-1/4""x3/4""",2BH1207
"1-1/4""x1""",2BH1210
"1-1/2""x1/2""",2BH1505
"1-1/2""x3/4""",2BH1507
"1-1/2""x1""",2BH1510
"1-1/2""x1-1/4""",2BH1512
"2""x3/4""",2BH2007
"2""x1""",2BH2010
"2""x1-1/4""",2BH2012
"2""x1-1/2""",2BH2015
"2-1/2""x1-1/4""",2BH2512
"2-1/2""x1-1/2""",2BH2515
"2-1/2""x2""",2BH2520
"3""x1-1/4""",2BH3012
"3""x1-1/2""",2BH3015
"3""x2""",2BH3020
"3""x2-1/2""",2BH3025

Extra Heavy Square Head Plugs - FS

EXTRA HEAVY
SIZE,PART NUMBER
"1/4""",2PS02
"3/8""",2PS03
"1/2""",2PS05
"3/4""",2PS07
"1""",2PS10
"1-1/4""",2PS12
"1-1/2""",2PS15
"2""",2PS20
"2-1/2""",2PS25
"3""",2PS30

Extra Heavy Caps - 3000 lb.

EXTRA HEAVY
SIZE,PART NUMBER
"1/4""",2CA02
"3/8""",2CA03
"1/2""",2CA05
"3/4""",2CA07
"1""",2CA10
"1-1/4""",2CA12
"1-1/2""",2CA15
"2""",2CA20

Extra Heavy Ground Joint Unions - 3000 lb.

EXTRA HEAVY
SIZE,PART NUMBER
"1/4""",2UN02
"3/8""",2UN03
"1/2""",2UN05
"3/4""",2UN07
"1""",2UN10
"1-1/4""",2UN12
"1-1/2""",2UN15
"2""",2UN20
"2-1/2""",2UN25
"3""",2UN30

Extra Heavy Handlebar Unions - 3000 lb.

EXTRA HEAVY
SIZE,PART NUMBER
"1""",2UK10
"1-1/4""",2UK12
"1-1/2""",2UK15
"2""",2UK20
"2-1/2""",2UK25
"3""",2UK30

Extra Heavy Concentric Swage Nipples

EXTRA HEAVY
SIZE,PART NUMBER
"3/4""x1/2""",2SC0705
"1""x1/2""",2SC1005
"1""x3/4""",2SC1007
"1-1/4""x3/4""",2SC1207
"1-1/4""x1""",2SC1210
"1-1/2""x1""",2SC1510
"1-1/2""x1-1/4""",2SC1512
"2""x3/4""",2SC2007
"2""x1""",2SC2010
"2""x1-1/4""",2SC2012
"2""x1-1/2""",2SC2015
"2-1/2""x2""",2SC2520
"3""x2""",2SC3020
"3""x2-1/2""",2SC3025
